Parameter,Value
M11,-0.0001477676174773142
M12,0.00018632326923753446
M22,0.00043132925166695566
B11,-0.035642078776182716
B12,-0.015590494981520604
B22,0.0267682926608847
K11,-0.013385010026673432
K12,0.031098891905948188
K22,0.010193052371559527
