Parameter,Value
M11,0.0003167622292596524
M12,0.00040490905496259454
M22,0.00010770500284067869
B11,-0.016919268401343047
B12,0.0071128757898406844
B22,-0.002807688928209713
K11,0.01690896728618147
K12,0.023415433112454517
K22,-0.00017220389834858465
