Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.444580,491.789337,72.907524,885.723450,27.898441,77.506889,-166.763229,-189.263016,13.990289,-588.458252,92.018211,78.581253,-569.708496,402.607025,73.779884,144.287796,365.589539,43.013397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.440857,491.793762,72.901123,885.724731,27.897808,77.509094,-166.762985,-189.262695,13.991133,-588.456848,92.021111,78.570847,-569.709534,402.609741,73.782021,144.285995,365.589935,43.010674,-0.751019,0.882149,-1.280010,0.250340,-0.126660,0.441074,0.050664,0.065565,0.168756,0.274181,0.579655,-2.081692,-0.202656,0.542402,0.427663,-0.360608,0.083447,-0.544637,,,,,,,,,,,,,,,,,,
3,0,907.436462,491.798889,72.893761,885.726013,27.897015,77.511703,-166.762787,-189.262360,13.992144,-588.455139,92.024284,78.558784,-569.710999,402.612854,73.784515,144.283920,365.590576,43.007488,-0.870228,1.025200,-1.472235,0.262260,-0.158697,0.521541,0.038743,0.065565,0.202283,0.345707,0.634789,-2.411008,-0.286102,0.625849,0.499189,-0.414252,0.125170,-0.637025,-23.841858,28.610229,-38.444996,2.384186,-6.407499,16.093254,-2.384186,0.000000,6.705523,14.305115,11.026859,-65.863129,-16.689301,16.689301,14.305115,-10.728836,8.344650,-18.477440
4,0,907.431519,491.804688,72.885506,885.727600,27.896057,77.514717,-166.762650,-189.262024,13.993320,-588.453186,92.027710,78.545143,-569.712646,402.616394,73.787392,144.281631,365.591400,43.003841,-0.989437,1.162291,-1.651049,0.309944,-0.191480,0.602007,0.026822,0.068545,0.235252,0.393391,0.685453,-2.728403,-0.333786,0.703335,0.575185,-0.458956,0.166893,-0.729412,-23.841858,27.418137,-35.762787,9.536743,-6.556511,16.093254,-2.384186,0.596046,6.593764,9.536743,10.132790,-63.478947,-9.536743,15.497208,15.199184,-8.940697,8.344650,-18.477440
5,0,907.426086,491.811066,72.876442,885.729248,27.894934,77.518097,-166.762634,-189.261673,13.994659,-588.450684,92.031303,78.530052,-569.714539,402.620239,73.790604,144.279129,365.592529,42.999752,-1.096725,1.275539,-1.813471,0.333786,-0.224635,0.676513,0.002980,0.068545,0.267848,0.500679,0.718236,-3.018975,-0.381470,0.768900,0.642240,-0.500679,0.226498,-0.818074,-21.457672,22.649765,-32.484531,4.768372,-6.631017,14.901161,-4.768372,0.000000,6.519258,21.457672,6.556511,-58.114529,-9.536743,13.113022,13.411045,-8.344650,11.920929,-17.732382
6,0,907.420166,491.817932,72.866699,885.731018,27.893646,77.521828,-166.762756,-189.261398,13.996146,-588.447815,92.034966,78.513680,-569.716797,402.624359,73.794113,144.276428,365.593964,42.995216,-1.180172,1.370907,-1.947582,0.357628,-0.257790,0.746548,-0.023842,0.056624,0.297464,0.572205,0.733137,-3.273785,-0.452995,0.828505,0.701845,-0.539422,0.286102,-0.906736,-16.689301,19.073486,-26.822090,4.768372,-6.631017,14.007092,-5.364418,-2.384186,5.923212,14.305115,2.980232,-50.961971,-14.305115,11.920929,11.920929,-7.748604,11.920929,-17.732382
7,0,907.413818,491.825195,72.856476,885.732971,27.892199,77.525864,-166.762985,-189.261154,13.997765,-588.444519,92.038597,78.496315,-569.719360,402.628723,73.797882,144.273529,365.595856,42.990265,-1.263618,1.454353,-2.044439,0.381470,-0.289455,0.806153,-0.047684,0.047684,0.323541,0.655651,0.725687,-3.473461,-0.512600,0.870228,0.753999,-0.578165,0.375509,-0.990927,-16.689301,16.689301,-19.371510,4.768372,-6.332994,11.920929,-4.768372,-1.788139,5.215406,16.689301,-1.490116,-39.935112,-11.920929,8.344650,10.430813,-7.748604,17.881393,-16.838312
8,0,907.407349,491.832703,72.845947,885.734985,27.890606,77.530113,-166.763382,-189.260925,13.999486,-588.440918,92.042099,78.478203,-569.722168,402.633179,73.801849,144.270462,365.598206,42.984909,-1.299381,1.502037,-2.105534,0.405312,-0.318512,0.850856,-0.077486,0.044703,0.344403,0.727177,0.700355,-3.622472,-0.560284,0.894070,0.794232,-0.613928,0.470877,-1.070648,-7.152557,9.536743,-12.218952,4.768372,-5.811453,8.940697,-5.960464,-0.596046,4.172325,14.305115,-5.066395,-29.802322,-9.536743,4.768372,8.046627,-7.152557,19.073486,-15.944242
9,0,907.400635,491.840332,72.835327,885.737000,27.888893,77.534538,-166.763885,-189.260803,14.001283,-588.436890,92.045395,78.459641,-569.725281,402.637695,73.805969,144.267227,365.601135,42.979183,-1.347065,1.525879,-2.124906,0.405312,-0.342727,0.885129,-0.101328,0.026822,0.359304,0.798702,0.660121,-3.711879,-0.619888,0.900030,0.822544,-0.646710,0.584126,-1.145154,-9.536743,4.768372,-3.874302,0.000000,-4.842877,6.854534,-4.768372,-3.576279,2.980232,14.305115,-8.046627,-17.881393,-11.920929,1.192093,5.662441,-6.556511,22.649765,-14.901161
