Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.629761,492.053558,72.918938,885.609009,28.043369,77.442223,-168.338654,-191.277618,10.956919,-601.604492,86.456223,78.545670,-568.634033,401.659576,73.886185,-33.158829,296.761780,124.552216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.627319,492.055389,72.919617,885.608887,28.043610,77.443665,-168.341171,-191.278137,10.955792,-601.609253,86.456863,78.555656,-568.637817,401.660828,73.891342,-33.150105,296.759369,124.537201,-0.488758,0.363588,0.135601,-0.023842,0.048056,0.289083,-0.503659,-0.101328,-0.225194,-0.953674,0.128150,1.998246,-0.751019,0.250340,1.031160,1.744926,-0.482798,-3.002584,,,,,,,,,,,,,,,,,,
3,0,907.624573,492.057434,72.920380,885.608704,28.043882,77.445442,-168.344101,-191.278702,10.954520,-601.614929,86.457542,78.567635,-568.642029,401.662201,73.897125,-33.139904,296.756470,124.519951,-0.548363,0.411272,0.153482,-0.035763,0.054762,0.354648,-0.584126,-0.113249,-0.254437,-1.144409,0.135601,2.394617,-0.846386,0.274181,1.156330,2.039969,-0.578165,-3.449619,-11.920929,9.536743,3.576279,-2.384186,1.341105,13.113022,-16.093254,-2.384186,-5.848706,-38.146973,1.490116,79.274178,-19.073486,4.768372,25.033951,59.008598,-19.073486,-89.406967
4,0,907.621521,492.059845,72.921234,885.608521,28.044188,77.447533,-168.347382,-191.279312,10.953115,-601.621704,86.458237,78.581589,-568.646606,401.663727,73.903481,-33.128262,296.753235,124.500603,-0.619888,0.482798,0.169873,-0.047684,0.061095,0.418723,-0.658631,-0.122190,-0.281259,-1.347065,0.138581,2.790987,-0.917912,0.303984,1.271069,2.328306,-0.649691,-3.869832,-14.305115,14.305115,3.278255,-2.384186,1.266599,12.814999,-14.901161,-1.788139,-5.364418,-40.531158,0.596046,79.274178,-14.305115,5.960464,22.947788,57.667496,-14.305115,-84.042549
5,0,907.618103,492.062561,72.922150,885.608093,28.044516,77.449959,-168.351013,-191.279953,10.951594,-601.629456,86.458908,78.597488,-568.651550,401.665314,73.910324,-33.115295,296.749603,124.479362,-0.679493,0.542402,0.183284,-0.083447,0.065565,0.484288,-0.724196,-0.128150,-0.303984,-1.549721,0.134110,3.179908,-0.989437,0.315905,1.369417,2.593547,-0.727177,-4.248321,-11.920929,11.920929,2.682209,-7.152557,0.894070,13.113022,-13.113022,-1.192093,-4.544854,-40.531158,-0.894070,77.784058,-14.305115,2.384186,19.669533,53.048134,-15.497208,-75.697899
6,0,907.614441,492.065521,72.923126,885.607483,28.044865,77.452682,-168.354904,-191.280624,10.949989,-601.638123,86.459534,78.615257,-568.656738,401.666931,73.917542,-33.101147,296.745636,124.456497,-0.727177,0.590086,0.195205,-0.119209,0.069663,0.545382,-0.777841,-0.134110,-0.320934,-1.740456,0.125170,3.553927,-1.037121,0.327826,1.442432,2.829731,-0.792742,-4.573166,-9.536743,9.536743,2.384186,-7.152557,0.819564,12.218952,-10.728836,-1.192093,-3.390014,-38.146973,-1.788139,74.803833,-9.536743,2.384186,14.603138,47.236679,-13.113022,-64.969063
7,0,907.610779,492.068665,72.924133,885.606750,28.045225,77.455673,-168.359009,-191.281311,10.948332,-601.647766,86.460068,78.634735,-568.662048,401.668610,73.924942,-33.086025,296.741302,124.432281,-0.739098,0.631809,0.201166,-0.143051,0.072271,0.597537,-0.822544,-0.137091,-0.331551,-1.931190,0.107288,3.896654,-1.060963,0.333786,1.481175,3.024191,-0.864267,-4.842877,-2.384186,8.344650,1.192093,-4.768372,0.521541,10.430813,-8.940697,-0.596046,-2.123415,-38.146973,-3.576279,68.545341,-4.768372,1.192093,7.748604,38.892029,-14.305115,-53.942204
8,0,907.606873,492.072021,72.925156,885.605896,28.045599,77.458862,-168.363251,-191.281967,10.946652,-601.658264,86.460503,78.655731,-568.667419,401.670227,73.932396,-33.070168,296.736725,124.406975,-0.774860,0.667572,0.205636,-0.178814,0.074506,0.639260,-0.849366,-0.134110,-0.335835,-2.098083,0.086427,4.199147,-1.072884,0.321865,1.490116,3.170967,-0.917912,-5.061924,-7.152557,7.152557,0.894070,-7.152557,0.447035,8.344650,-5.364418,0.596046,-0.856817,-33.378601,-4.172325,60.498714,-2.384186,-2.384186,1.788139,29.355288,-10.728836,-43.809414
9,0,907.603149,492.075439,72.926193,885.604858,28.045980,77.462212,-168.367554,-191.282608,10.944982,-601.669556,86.460793,78.677986,-568.672668,401.671722,73.939743,-33.053852,296.731812,124.380829,-0.751019,0.685453,0.207126,-0.202656,0.076368,0.669062,-0.858307,-0.128150,-0.334345,-2.253056,0.058115,4.450977,-1.049042,0.303984,1.469254,3.263354,-0.983477,-5.228817,4.768372,3.576279,0.298023,-4.768372,0.372529,5.960464,-1.788139,1.192093,0.298023,-30.994415,-5.662441,50.365925,4.768372,-3.576279,-4.172325,18.477440,-13.113022,-33.378601
10,0,907.599365,492.078827,72.927216,885.603638,28.046370,77.465599,-168.371796,-191.283234,10.943344,-601.681274,86.460922,78.701218,-568.677612,401.673126,73.946815,-33.037369,296.726654,124.354073,-0.751019,0.679493,0.204146,-0.238419,0.077859,0.678003,-0.849366,-0.125170,-0.327453,-2.348423,0.026822,4.646182,-0.989437,0.280142,1.415610,3.296882,-1.031160,-5.351007,0.000000,-1.192093,-0.596046,-7.152557,0.298023,1.788139,1.788139,0.596046,1.378357,-19.073486,-6.258488,39.041042,11.920929,-4.768372,-10.728836,6.705523,-9.536743,-24.437904
11,0,907.595825,492.082245,72.928200,885.602417,28.046770,77.468987,-168.375946,-191.283798,10.941762,-601.693481,86.460892,78.725105,-568.682251,401.674347,73.953499,-33.021008,296.721130,124.326881,-0.715256,0.679493,0.196695,-0.250340,0.080094,0.676513,-0.828505,-0.110269,-0.316463,-2.443790,-0.007451,4.777312,-0.929832,0.244379,1.336634,3.272295,-1.102686,-5.437434,7.152557,0.000000,-1.490116,-2.384186,0.447035,-0.298023,4.172325,2.980232,2.197921,-19.073486,-6.854534,26.226044,11.920929,-7.152557,-15.795231,-4.917383,-14.305115,-17.285347
12,0,907.592468,492.085541,72.929138,885.601074,28.047186,77.472229,-168.379852,-191.284302,10.940251,-601.706055,86.460678,78.749313,-568.686462,401.675415,73.959656,-33.005074,296.715424,124.299446,-0.667572,0.661612,0.187755,-0.274181,0.083074,0.649691,-0.783801,-0.101328,-0.302121,-2.503395,-0.041723,4.841387,-0.846386,0.208616,1.230836,3.186613,-1.144409,-5.488098,9.536743,-3.576279,-1.788139,-4.768372,0.596046,-5.364418,8.940697,1.788139,2.868474,-11.920929,-6.854534,12.814999,16.689301,-7.152557,-21.159649,-17.136335,-8.344650,-10.132790
13,0,907.589294,492.088654,72.930016,885.599609,28.047617,77.475288,-168.383530,-191.284714,10.938823,-601.718567,86.460289,78.773491,-568.690247,401.676208,73.965179,-32.989861,296.709351,124.271866,-0.631809,0.619888,0.175834,-0.286102,0.086427,0.610948,-0.733137,-0.083447,-0.285730,-2.503395,-0.077486,4.835427,-0.751019,0.160933,1.104176,3.042817,-1.209974,-5.514920,7.152557,-8.344650,-2.384186,-2.384186,0.670552,-7.748604,10.132790,3.576279,3.278255,0.000000,-7.152557,-1.192093,19.073486,-9.536743,-25.331974,-28.759241,-13.113022,-5.364418
14,0,907.586609,492.091522,72.930832,885.598083,28.048075,77.478050,-168.386810,-191.285080,10.937481,-601.730896,86.459747,78.797287,-568.693359,401.676727,73.969971,-32.975620,296.703003,124.244316,-0.536442,0.578165,0.163913,-0.309944,0.091270,0.552833,-0.658631,-0.071526,-0.268221,-2.467632,-0.108778,4.759431,-0.619888,0.101328,0.958145,2.847612,-1.269579,-5.510449,19.073486,-8.344650,-2.384186,-4.768372,0.968575,-11.622906,14.901161,2.384186,3.501773,7.152557,-6.258488,-15.199184,26.226044,-11.920929,-29.206276,-39.041042,-11.920929,0.894070
15,0,907.584229,492.094147,72.931572,885.596497,28.048552,77.480469,-168.389740,-191.285309,10.936230,-601.742859,86.459061,78.820358,-568.695923,401.676941,73.973953,-32.962589,296.696350,124.216881,-0.476837,0.524521,0.147521,-0.309944,0.095367,0.482798,-0.584126,-0.047684,-0.250340,-2.396107,-0.137091,4.613400,-0.512600,0.047684,0.797212,2.606213,-1.329184,-5.486608,11.920929,-10.728836,-3.278255,0.000000,0.819564,-14.007092,14.901161,4.768372,3.576279,14.305115,-5.662441,-29.206276,21.457672,-10.728836,-32.186508,-48.279762,-11.920929,4.768372
16,0,907.582336,492.096527,72.932228,885.595093,28.049044,77.482460,-168.392212,-191.285492,10.935062,-601.754333,86.458260,78.842377,-568.697693,401.676880,73.977104,-32.950954,296.689423,124.189728,-0.381470,0.470877,0.131130,-0.286102,0.098720,0.399351,-0.494719,-0.035763,-0.233389,-2.288818,-0.160933,4.404783,-0.357628,-0.011921,0.630319,2.327561,-1.388788,-5.431473,19.073486,-10.728836,-3.278255,4.768372,0.670552,-16.689301,17.881393,2.384186,3.390014,21.457672,-4.768372,-41.723251,30.994415,-11.920929,-33.378601,-55.730343,-11.920929,11.026859
17,0,907.580811,492.098602,72.932808,885.593628,28.049543,77.484016,-168.394211,-191.285553,10.933977,-601.765015,86.457352,78.863068,-568.698853,401.676575,73.979424,-32.940842,296.682159,124.162979,-0.309944,0.417233,0.116229,-0.286102,0.099838,0.311434,-0.399351,-0.011921,-0.216998,-2.145767,-0.181794,4.138052,-0.226498,-0.065565,0.463426,2.022088,-1.454353,-5.349517,14.305115,-10.728836,-2.980232,0.000000,0.223517,-17.583370,19.073486,4.768372,3.278255,28.610229,-4.172325,-53.346157,26.226044,-10.728836,-33.378601,-61.094761,-13.113022,16.391277
18,0,907.579712,492.100342,72.933319,885.592346,28.050034,77.485130,-168.395737,-191.285538,10.932968,-601.774841,86.456375,78.882210,-568.699280,401.675934,73.980896,-32.932350,296.674591,124.136795,-0.214577,0.345707,0.101328,-0.262260,0.097975,0.222027,-0.306964,0.002980,-0.201911,-1.966953,-0.195205,3.828108,-0.095367,-0.125170,0.295043,1.698732,-1.513958,-5.236268,19.073486,-14.305115,-2.980232,4.768372,-0.372529,-17.881393,18.477440,2.980232,3.017485,35.762787,-2.682209,-61.988831,26.226044,-11.920929,-33.676624,-64.671036,-11.920929,22.649765
19,0,907.579041,492.101746,72.933731,885.591125,28.050497,77.485779,-168.396820,-191.285416,10.932028,-601.783630,86.455353,78.899612,-568.699097,401.675079,73.981606,-32.925510,296.666809,124.111382,-0.131130,0.286102,0.083447,-0.238419,0.092760,0.129640,-0.214577,0.023842,-0.188127,-1.752377,-0.204146,3.480911,0.035763,-0.172853,0.141561,1.367927,-1.555681,-5.082786,16.689301,-11.920929,-3.576279,4.768372,-1.043081,-18.477440,18.477440,4.172325,2.756715,42.915344,-1.788139,-69.439407,26.226044,-9.536743,-30.696392,-66.161156,-8.344650,30.696392
20,0,907.578796,492.102936,72.934074,885.590088,28.050907,77.486000,-168.397430,-191.285202,10.931149,-601.791382,86.454315,78.915154,-568.698364,401.673981,73.981606,-32.920303,296.658752,124.086945,-0.047684,0.232458,0.068545,-0.214577,0.081956,0.044703,-0.122190,0.041723,-0.175647,-1.549721,-0.207126,3.108382,0.154972,-0.220537,0.000000,1.040846,-1.609325,-4.887581,16.689301,-10.728836,-2.980232,4.768372,-2.160668,-16.987324,18.477440,3.576279,2.495944,40.531158,-0.596046,-74.505806,23.841858,-9.536743,-28.312206,-65.416100,-10.728836,39.041042
21,0,907.578918,492.103821,72.934349,885.589233,28.051243,77.485863,-168.397614,-191.284958,10.930328,-601.798035,86.453285,78.928780,-568.697021,401.672729,73.981003,-32.916672,296.650604,124.063683,0.023842,0.178814,0.055134,-0.166893,0.067055,-0.028312,-0.038743,0.050664,-0.164099,-1.335144,-0.205636,2.723932,0.262260,-0.250340,-0.120699,0.726432,-1.627207,-4.652143,14.305115,-10.728836,-2.682209,9.536743,-2.980232,-14.603138,16.689301,1.788139,2.309680,42.915344,0.298023,-76.889992,21.457672,-5.960464,-24.139881,-62.882900,-3.576279,47.087669
22,0,907.579407,492.104462,72.934563,885.588501,28.051477,77.485390,-168.397446,-191.284607,10.929564,-601.803528,86.452301,78.940475,-568.695251,401.671326,73.979904,-32.914520,296.642395,124.041847,0.095367,0.131130,0.041723,-0.143051,0.046939,-0.093877,0.035763,0.068545,-0.152923,-1.096725,-0.198185,2.339482,0.357628,-0.280142,-0.219047,0.430644,-1.645088,-4.367530,14.305115,-9.536743,-2.682209,4.768372,-4.023314,-13.113022,14.901161,3.576279,2.235174,47.683716,1.490116,-76.889992,19.073486,-5.960464,-19.669533,-59.157608,-3.576279,56.922436
23,0,907.580322,492.104980,72.934715,885.588074,28.051592,77.484680,-168.396927,-191.284241,10.928852,-601.807922,86.451355,78.950287,-568.693115,401.669891,73.978455,-32.913708,296.634186,124.021652,0.178814,0.101328,0.031292,-0.095367,0.023097,-0.141561,0.104308,0.074506,-0.142306,-0.882149,-0.189245,1.962483,0.429153,-0.286102,-0.290573,0.162423,-1.639128,-4.039705,16.689301,-5.960464,-2.086163,9.536743,-4.768372,-9.536743,13.709068,1.192093,2.123415,42.915344,1.788139,-75.399872,14.305115,-1.192093,-14.305115,-53.644180,1.192093,65.565109
24,0,907.581360,492.105286,72.934845,885.587769,28.051571,77.483795,-168.396133,-191.283844,10.928197,-601.811218,86.450470,78.958290,-568.690735,401.668457,73.976761,-32.914082,296.626129,124.003296,0.214577,0.059605,0.025332,-0.059605,-0.004470,-0.177324,0.157952,0.080466,-0.131130,-0.655651,-0.175834,1.600385,0.476837,-0.286102,-0.338256,-0.074506,-1.615286,-3.670156,7.152557,-8.344650,-1.192093,7.152557,-5.513430,-7.152557,10.728836,1.192093,2.235174,45.299530,2.682209,-72.419647,9.536743,0.000000,-9.536743,-47.385693,4.768372,73.909760
25,0,907.582703,492.105469,72.934929,885.587708,28.051407,77.482796,-168.395111,-191.283401,10.927598,-601.813599,86.449669,78.964577,-568.688171,401.667084,73.974983,-32.915474,296.618317,123.987000,0.262260,0.035763,0.016391,-0.011921,-0.032783,-0.199676,0.202656,0.086427,-0.119768,-0.476837,-0.160933,1.257658,0.512600,-0.274181,-0.356138,-0.278652,-1.561642,-3.260374,9.536743,-4.768372,-1.788139,9.536743,-5.662441,-4.470348,8.940697,1.192093,2.272427,35.762787,2.980232,-68.545341,7.152557,2.384186,-3.576279,-40.829182,10.728836,81.956390
26,0,907.584106,492.105499,72.934982,885.587830,28.051102,77.481750,-168.393951,-191.282990,10.927059,-601.815125,86.448944,78.969276,-568.685547,401.665894,73.973206,-32.917717,296.610870,123.972893,0.286102,0.011921,0.011921,0.023842,-0.060722,-0.208616,0.232458,0.083447,-0.107847,-0.298023,-0.144541,0.940263,0.524521,-0.238419,-0.354648,-0.448525,-1.490116,-2.820790,4.768372,-4.768372,-0.894070,7.152557,-5.587935,-1.788139,5.960464,-0.596046,2.384186,35.762787,3.278255,-63.478947,2.384186,7.152557,0.298023,-33.974648,14.305115,87.916855
27,0,907.585693,492.105499,72.935028,885.588074,28.050678,77.480690,-168.392685,-191.282593,10.926584,-601.815735,86.448311,78.972527,-568.683044,401.664886,73.971581,-32.920643,296.603882,123.961098,0.309944,0.000000,0.008941,0.047684,-0.084937,-0.213087,0.253320,0.080466,-0.094809,-0.131130,-0.126660,0.649691,0.500679,-0.202656,-0.326335,-0.585616,-1.394749,-2.358854,4.768372,-2.384186,-0.596046,4.768372,-4.842877,-0.894070,4.172325,-0.596046,2.607703,33.378601,3.576279,-58.114529,-4.768372,7.152557,5.662441,-27.418137,19.073486,92.387199
28,0,907.587280,492.105469,72.935081,885.588440,28.050163,77.479622,-168.391403,-191.282227,10.926178,-601.815735,86.447784,78.974403,-568.680664,401.664093,73.970161,-32.924110,296.597534,123.951698,0.321865,-0.011921,0.010431,0.083447,-0.102818,-0.213087,0.256300,0.071526,-0.081398,0.000000,-0.105798,0.375509,0.476837,-0.160933,-0.283122,-0.693649,-1.269579,-1.880527,2.384186,-2.384186,0.298023,7.152557,-3.576279,0.000000,0.596046,-1.788139,2.682209,26.226044,4.172325,-54.836273,-4.768372,8.344650,8.642673,-21.606684,25.033951,95.665451
29,0,907.588867,492.105408,72.935150,885.588928,28.049606,77.478569,-168.390152,-191.281921,10.925837,-601.815125,86.447334,78.975067,-568.678528,401.663544,73.969048,-32.927990,296.591949,123.944695,0.309944,-0.011921,0.013411,0.095367,-0.111386,-0.211596,0.250340,0.062585,-0.068173,0.131130,-0.089407,0.132620,0.429153,-0.107288,-0.222027,-0.775605,-1.120567,-1.400709,-2.384186,0.000000,0.596046,2.384186,-1.713634,0.298023,-1.192093,-1.788139,2.644956,26.226044,3.278255,-48.577785,-9.536743,10.728836,12.218952,-16.391277,29.802322,95.963478
30,0,907.590332,492.105316,72.935226,885.589478,28.049070,77.477478,-168.388977,-191.281677,10.925561,-601.813904,86.446991,78.974579,-568.676636,401.663330,73.968292,-32.932171,296.587128,123.940071,0.298023,-0.017881,0.014901,0.107288,-0.107288,-0.217557,0.235438,0.047684,-0.055134,0.238419,-0.068545,-0.096858,0.369549,-0.041723,-0.151992,-0.835955,-0.959635,-0.923872,-2.384186,-1.192093,0.298023,2.384186,0.819564,-1.192093,-2.980232,-2.980232,2.607703,21.457672,4.172325,-45.895576,-11.920929,13.113022,14.007092,-12.069941,32.186508,95.367432
31,0,907.591614,492.105225,72.935318,885.589844,28.048622,77.476311,-168.387955,-191.281494,10.925345,-601.812317,86.446754,78.973068,-568.675293,401.663422,73.967918,-32.936565,296.583252,123.937744,0.262260,-0.017881,0.019372,0.071526,-0.089779,-0.233948,0.205636,0.035763,-0.043213,0.321865,-0.047684,-0.302494,0.274181,0.017881,-0.074506,-0.879169,-0.774860,-0.466406,-7.152557,0.000000,0.894070,-7.152557,3.501773,-3.278255,-5.960464,-2.384186,2.384186,16.689301,4.172325,-41.127205,-19.073486,11.920929,15.497208,-8.642673,36.954880,91.493134
32,0,907.592834,492.105133,72.935463,885.590149,28.048342,77.474991,-168.387070,-191.281403,10.925179,-601.810242,86.446602,78.970627,-568.674255,401.663849,73.967957,-32.941120,296.580383,123.937592,0.238419,-0.017881,0.028312,0.059605,-0.055879,-0.263751,0.175834,0.017881,-0.033155,0.417233,-0.029802,-0.488758,0.202656,0.083447,0.007451,-0.911206,-0.578165,-0.029802,-4.768372,0.000000,1.788139,-2.384186,6.780028,-5.960464,-5.960464,-3.576279,2.011657,19.073486,3.576279,-37.252903,-14.305115,13.113022,16.391277,-6.407499,39.339066,87.320801
