Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.362061,491.862793,72.675583,885.666626,27.907429,77.488625,-166.707886,-189.313034,13.943609,-588.593323,91.994011,78.713898,-569.618469,402.453308,73.846962,111.096886,319.259369,56.501865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.362732,491.862854,72.681931,885.668762,27.908415,77.491684,-166.709045,-189.312317,13.944885,-588.585693,91.993057,78.699791,-569.621948,402.454865,73.851440,111.092522,319.266724,56.510029,0.143051,0.011921,1.269579,0.429153,0.197068,0.612438,-0.232458,0.143051,0.255369,1.525879,-0.190735,-2.822280,-0.691414,0.309944,0.897050,-0.873208,1.472235,1.632422,,,,,,,,,,,,,,,,,,
3,0,907.363586,491.863007,72.688919,885.671204,27.909447,77.495148,-166.710373,-189.311569,13.946347,-588.577148,91.991913,78.684227,-569.626038,402.456604,73.856590,111.087456,319.275116,56.519360,0.166893,0.029802,1.397729,0.488758,0.206381,0.692904,-0.265241,0.151992,0.292249,1.704693,-0.227988,-3.112853,-0.822544,0.351667,1.029670,-1.013279,1.674891,1.866370,4.768372,3.576279,25.629997,11.920929,1.862645,16.093254,-6.556511,1.788139,7.376075,35.762787,-7.450581,-58.114529,-26.226044,8.344650,26.524067,-28.014183,40.531158,46.789646
4,0,907.364380,491.863220,72.696457,885.673828,27.910509,77.498962,-166.711884,-189.310776,13.947983,-588.567993,91.990585,78.667397,-569.630554,402.458588,73.862381,111.081726,319.284271,56.529751,0.154972,0.041723,1.506507,0.524521,0.212342,0.762939,-0.301003,0.157952,0.327080,1.835823,-0.266731,-3.366172,-0.905991,0.393391,1.157820,-1.145899,1.829863,2.077967,-2.384186,2.384186,21.755695,7.152557,1.192093,14.007092,-7.152557,1.192093,6.966293,26.226044,-7.748604,-50.663948,-16.689301,8.344650,25.629997,-26.524067,30.994415,42.319298
5,0,907.365112,491.863525,72.704391,885.676636,27.911562,77.503067,-166.713516,-189.309967,13.949771,-588.558228,91.989059,78.649643,-569.635620,402.460663,73.868744,111.075409,319.294159,56.541046,0.143051,0.059605,1.586974,0.560284,0.210851,0.821054,-0.327826,0.160933,0.357628,1.955032,-0.303984,-3.550947,-1.013279,0.417233,1.272559,-1.263618,1.978874,2.259016,-2.384186,3.576279,16.093254,7.152557,-0.298023,11.622906,-5.364418,0.596046,6.109476,23.841858,-7.450581,-36.954880,-21.457672,4.768372,22.947788,-23.543835,29.802322,36.209824
6,0,907.365662,491.863922,72.712524,885.679443,27.912575,77.507378,-166.715302,-189.309219,13.951686,-588.548096,91.987358,78.631378,-569.641052,402.462830,73.875587,111.068581,319.304504,56.553036,0.119209,0.083447,1.627207,0.560284,0.202283,0.861287,-0.354648,0.149012,0.383146,2.014637,-0.341237,-3.652275,-1.084805,0.435114,1.369417,-1.364946,2.068281,2.398342,-4.768372,4.768372,8.046627,0.000000,-1.713634,8.046627,-5.364418,-2.384186,5.103648,11.920929,-7.450581,-20.265579,-14.305115,3.576279,19.371510,-20.265579,17.881393,27.865171
7,0,907.366211,491.864471,72.720673,885.682312,27.913502,77.511772,-166.717178,-189.308517,13.953703,-588.537842,91.985489,78.613037,-569.646912,402.465088,73.882805,111.061386,319.315155,56.565487,0.107288,0.107288,1.628697,0.572205,0.185519,0.879169,-0.375509,0.140071,0.403263,2.050400,-0.374019,-3.668666,-1.168251,0.447035,1.442432,-1.439452,2.133846,2.489984,-2.384186,4.768372,0.298023,2.384186,-3.352761,3.576279,-4.172325,-1.788139,4.023314,7.152557,-6.556511,-3.278255,-16.689301,2.384186,14.603138,-14.901161,13.113022,18.328428
8,0,907.366516,491.865082,72.728615,885.685059,27.914312,77.516159,-166.719116,-189.307907,13.955786,-588.527710,91.983459,78.594994,-569.652832,402.467316,73.890244,111.053932,319.325928,56.578159,0.059605,0.119209,1.588464,0.560284,0.162050,0.877678,-0.387430,0.122190,0.416674,2.026558,-0.405312,-3.609061,-1.192093,0.447035,1.488626,-1.491606,2.151728,2.534688,-9.536743,2.384186,-8.046627,-2.384186,-4.693866,-0.298023,-2.384186,-3.576279,2.682209,-4.768372,-6.258488,11.920929,-4.768372,0.000000,9.238720,-10.430813,3.576279,8.940697
9,0,907.366699,491.865814,72.736191,885.687744,27.914980,77.520432,-166.721054,-189.307373,13.957905,-588.517822,91.981293,78.577599,-569.658936,402.469513,73.897812,111.046364,319.336609,56.590816,0.035763,0.149012,1.515448,0.536442,0.133738,0.853837,-0.390410,0.107288,0.423752,1.978874,-0.433624,-3.477931,-1.215935,0.441074,1.512468,-1.512468,2.139807,2.531707,-4.768372,5.960464,-14.603138,-4.768372,-5.662441,-4.768372,-0.596046,-2.980232,1.415610,-9.536743,-5.662441,26.226044,-4.768372,-1.192093,4.768372,-4.172325,-2.384186,-0.596046
10,0,907.366638,491.866608,72.743225,885.690247,27.915493,77.524460,-166.722992,-189.306976,13.960028,-588.508423,91.979027,78.561180,-569.665100,402.471619,73.905357,111.038879,319.347076,56.603249,-0.011921,0.160933,1.406670,0.500679,0.102445,0.806153,-0.387430,0.080466,0.424683,1.883507,-0.452995,-3.284216,-1.227856,0.423193,1.509488,-1.497567,2.092123,2.486259,-9.536743,2.384186,-21.755695,-7.152557,-6.258488,-9.536743,0.596046,-5.364418,0.186265,-19.073486,-3.874302,38.743019,-2.384186,-3.576279,-0.596046,2.980232,-9.536743,-9.089708
11,0,907.366394,491.867554,72.749565,885.692505,27.915838,77.528168,-166.724869,-189.306656,13.962124,-588.499634,91.976677,78.545952,-569.671021,402.473633,73.912750,111.031624,319.357239,56.615280,-0.047684,0.184774,1.268089,0.441074,0.069290,0.742078,-0.375509,0.062585,0.419095,1.764297,-0.469387,-3.045797,-1.192093,0.399351,1.478195,-1.451373,2.032518,2.406538,-7.152557,4.768372,-27.716160,-11.920929,-6.631017,-12.814999,2.384186,-3.576279,-1.117587,-23.841858,-3.278255,47.683716,7.152557,-4.768372,-6.258488,9.238720,-11.920929,-15.944242
12,0,907.365967,491.868530,72.755089,885.694458,27.916023,77.531471,-166.726654,-189.306473,13.964160,-588.491455,91.974297,78.532104,-569.676819,402.475433,73.919876,111.024773,319.367035,56.626801,-0.083447,0.196695,1.105666,0.393391,0.036880,0.660121,-0.354648,0.038743,0.407360,1.633167,-0.476837,-2.768636,-1.156330,0.363588,1.426041,-1.369417,1.955032,2.303720,-7.152557,2.384186,-32.484531,-9.536743,-6.482005,-16.391277,4.172325,-4.768372,-2.346933,-26.226044,-1.490116,55.432320,7.152557,-7.152557,-10.430813,16.391277,-15.497208,-20.563602
13,0,907.365234,491.869598,72.759727,885.696106,27.916048,77.534317,-166.728271,-189.306381,13.966110,-588.484009,91.971893,78.519753,-569.682312,402.477142,73.926651,111.018547,319.376373,56.637756,-0.143051,0.214577,0.926852,0.333786,0.004843,0.569224,-0.324845,0.017881,0.390038,1.490116,-0.479817,-2.470613,-1.096725,0.339746,1.354516,-1.245737,1.871586,2.191216,-11.920929,3.576279,-35.762787,-11.920929,-6.407499,-18.179417,5.960464,-4.172325,-3.464520,-28.610229,-0.596046,59.604645,11.920929,-4.768372,-14.305115,24.735928,-16.689301,-22.500753
14,0,907.364441,491.870758,72.763390,885.697449,27.915924,77.536659,-166.729752,-189.306366,13.967948,-588.477356,91.969543,78.508942,-569.687439,402.478607,73.932945,111.013084,319.385406,56.648159,-0.166893,0.232458,0.733137,0.262260,-0.024587,0.467896,-0.295043,0.002980,0.367500,1.323223,-0.470877,-2.162158,-1.025200,0.292063,1.259148,-1.092255,1.806021,2.080202,-4.768372,3.576279,-38.743019,-14.305115,-5.885959,-20.265579,5.960464,-2.980232,-4.507601,-33.378601,1.788139,61.690807,14.305115,-9.536743,-19.073486,30.696392,-13.113022,-22.202730
15,0,907.363464,491.871979,72.766090,885.698303,27.915676,77.538475,-166.731033,-189.306427,13.969649,-588.471558,91.967255,78.499641,-569.691956,402.479889,73.938721,111.008568,319.394196,56.658092,-0.190735,0.244379,0.539422,0.178814,-0.049919,0.363588,-0.256300,-0.011921,0.340305,1.168251,-0.457466,-1.859665,-0.905991,0.256300,1.154840,-0.903010,1.758337,1.987070,-4.768372,2.384186,-38.743019,-16.689301,-5.066395,-20.861626,7.748604,-2.980232,-5.438924,-30.994415,2.682209,60.498714,23.841858,-7.152557,-20.861626,37.848949,-9.536743,-18.626451
16,0,907.362305,491.873230,72.767822,885.698975,27.915316,77.539810,-166.732086,-189.306534,13.971199,-588.466492,91.965096,78.491776,-569.696045,402.480957,73.943909,111.005150,319.402924,56.667702,-0.238419,0.250340,0.347197,0.131130,-0.071898,0.266731,-0.211596,-0.020862,0.309944,1.013279,-0.432134,-1.573563,-0.822544,0.214577,1.037121,-0.683963,1.746416,1.921505,-9.536743,1.192093,-38.444996,-9.536743,-4.395843,-19.371510,8.940697,-1.788139,-6.072223,-30.994415,5.066395,57.220459,16.689301,-8.344650,-23.543835,43.809414,-2.384186,-13.113022
17,0,907.361084,491.874573,72.768684,885.699280,27.914867,77.540657,-166.732941,-189.306656,13.972586,-588.462097,91.963089,78.485214,-569.699585,402.481842,73.948456,111.002945,319.411713,56.677174,-0.238419,0.268221,0.171363,0.059605,-0.089779,0.169873,-0.169873,-0.026822,0.277348,0.870228,-0.400841,-1.312792,-0.703335,0.178814,0.910461,-0.441074,1.758337,1.894683,0.000000,3.576279,-35.166740,-14.305115,-3.576279,-19.371510,8.344650,-1.192093,-6.519258,-28.610229,6.258488,52.154064,23.841858,-7.152557,-25.331974,48.577785,2.384186,-5.364418
18,0,907.359741,491.875916,72.768745,885.699280,27.914354,77.541107,-166.733582,-189.306793,13.973803,-588.458496,91.961296,78.479790,-569.702637,402.482605,73.952385,111.002045,319.420807,56.686729,-0.274181,0.268221,0.013411,0.000000,-0.102445,0.089407,-0.128150,-0.026822,0.243261,0.727177,-0.359118,-1.084805,-0.607967,0.149012,0.785291,-0.180304,1.817942,1.911074,-7.152557,0.000000,-31.590462,-11.920929,-2.533197,-16.093254,8.344650,0.000000,-6.817281,-28.610229,8.344650,45.597553,19.073486,-5.960464,-25.033951,52.154064,11.920929,3.278255
19,0,907.358398,491.877289,72.768158,885.699036,27.913797,77.541191,-166.733994,-189.306915,13.974847,-588.455444,91.959747,78.475288,-569.705017,402.483185,73.955673,111.002480,319.430389,56.696613,-0.262260,0.274181,-0.117719,-0.047684,-0.111386,0.017881,-0.083447,-0.023842,0.208989,0.607967,-0.309944,-0.900030,-0.476837,0.119209,0.657141,0.087917,1.913309,1.976639,2.384186,1.192093,-26.226044,-9.536743,-1.788139,-14.305115,8.940697,0.596046,-6.854534,-23.841858,9.834766,36.954880,26.226044,-5.960464,-25.629997,53.644180,19.073486,13.113022
20,0,907.357117,491.878632,72.767082,885.698547,27.913219,77.541016,-166.734238,-189.306976,13.975727,-588.452881,91.958466,78.471535,-569.706726,402.483734,73.958328,111.004272,319.440582,56.707050,-0.262260,0.268221,-0.216067,-0.095367,-0.115484,-0.035763,-0.047684,-0.011921,0.176020,0.512600,-0.256300,-0.751019,-0.345707,0.107288,0.531971,0.357628,2.038479,2.087653,0.000000,-1.192093,-19.669533,-9.536743,-0.819564,-10.728836,7.152557,2.384186,-6.593764,-19.073486,10.728836,29.802322,26.226044,-2.384186,-25.033951,53.942204,25.033951,22.202730
21,0,907.355957,491.879944,72.765648,885.697876,27.912645,77.540657,-166.734299,-189.306976,13.976452,-588.450867,91.957504,78.468269,-569.708069,402.484161,73.960411,111.007332,319.451508,56.718246,-0.226498,0.262260,-0.286102,-0.131130,-0.115111,-0.071526,-0.011921,0.000000,0.144914,0.405312,-0.192225,-0.652671,-0.262260,0.083447,0.415742,0.612438,2.187490,2.238899,7.152557,-1.192093,-14.007092,-7.152557,0.074506,-7.152557,7.152557,2.384186,-6.221235,-21.457672,12.814999,19.669533,16.689301,-4.768372,-23.245811,50.961971,29.802322,30.249357
22,0,907.354858,491.881226,72.764038,885.697205,27.912086,77.540199,-166.734222,-189.306885,13.977035,-588.449097,91.956863,78.465309,-569.708801,402.484528,73.961945,111.011528,319.463379,56.730354,-0.226498,0.256300,-0.321865,-0.143051,-0.111759,-0.092387,0.014901,0.017881,0.116602,0.345707,-0.128150,-0.591576,-0.154972,0.077486,0.306964,0.838935,2.372265,2.422184,0.000000,-1.192093,-7.152557,-2.384186,0.670552,-4.172325,5.364418,3.576279,-5.662441,-11.920929,12.814999,12.218952,21.457672,-1.192093,-21.755695,45.299530,36.954880,36.656857
23,0,907.354004,491.882416,72.762390,885.696350,27.911558,77.539703,-166.733994,-189.306686,13.977494,-588.447754,91.956573,78.462448,-569.709106,402.484924,73.962975,111.016663,319.476044,56.743469,-0.166893,0.238419,-0.329316,-0.166893,-0.105426,-0.098348,0.044703,0.038743,0.091828,0.274181,-0.058115,-0.572205,-0.059605,0.077486,0.205636,1.026690,2.533197,2.622604,11.920929,-3.576279,-1.490116,-4.768372,1.266599,-1.192093,5.960464,4.172325,-4.954636,-14.305115,14.007092,3.874302,19.073486,0.000000,-20.265579,37.550926,32.186508,40.084122
24,0,907.353333,491.883514,72.760834,885.695435,27.911074,77.539268,-166.733719,-189.306396,13.977849,-588.446472,91.956635,78.459518,-569.709045,402.485352,73.963562,111.022453,319.489502,56.757587,-0.131130,0.220537,-0.311434,-0.178814,-0.096858,-0.087917,0.056624,0.059605,0.070967,0.250340,0.013411,-0.587106,0.011921,0.083447,0.117719,1.157820,2.694130,2.823770,7.152557,-3.576279,3.576279,-2.384186,1.713634,2.086163,2.384186,4.172325,-4.172325,-4.768372,14.305115,-2.980232,14.305115,1.192093,-17.583370,26.226044,32.186508,40.233135
25,0,907.352783,491.884491,72.759453,885.694641,27.910639,77.538933,-166.733368,-189.305969,13.978121,-588.445557,91.957054,78.456360,-569.708679,402.485779,73.963760,111.028549,319.503571,56.772614,-0.107288,0.196695,-0.277162,-0.166893,-0.087172,-0.067055,0.068545,0.083447,0.054389,0.190735,0.083447,-0.631809,0.071526,0.089407,0.040233,1.220405,2.813339,3.004819,4.768372,-4.768372,6.854534,2.384186,1.937151,4.172325,2.384186,4.768372,-3.315508,-11.920929,14.007092,-8.940697,11.920929,1.192093,-15.497208,12.516975,23.841858,36.209824
26,0,907.352539,491.885437,72.758286,885.693787,27.910257,77.538757,-166.733017,-189.305420,13.978331,-588.444519,91.957825,78.452866,-569.708130,402.486328,73.963646,111.034531,319.518066,56.788349,-0.047684,0.184774,-0.232458,-0.166893,-0.076368,-0.034273,0.071526,0.110269,0.041910,0.202656,0.153482,-0.698864,0.119209,0.107288,-0.022352,1.195073,2.896786,3.147125,11.920929,-2.384186,8.940697,0.000000,2.160668,6.556511,0.596046,5.364418,-2.495944,2.384186,14.007092,-13.411045,9.536743,3.576279,-12.516975,-5.066395,16.689301,28.461218
27,0,907.352417,491.886292,72.757378,885.692993,27.909929,77.538780,-166.732651,-189.304779,13.978499,-588.443726,91.958885,78.448967,-569.707275,402.486938,73.963272,111.039894,319.532501,56.804512,-0.023842,0.172853,-0.181794,-0.154972,-0.065565,0.004470,0.071526,0.128150,0.033714,0.166893,0.213087,-0.779331,0.166893,0.125170,-0.075996,1.072884,2.890825,3.232807,4.768372,-2.384186,10.132790,2.384186,2.160668,7.748604,0.000000,3.576279,-1.639128,-7.152557,11.920929,-16.093254,9.536743,3.576279,-10.728836,-24.437904,-1.192093,17.136335
28,0,907.352539,491.887024,72.756706,885.692322,27.909651,77.539024,-166.732346,-189.304031,13.978645,-588.442871,91.960243,78.444603,-569.706360,402.487701,73.962677,111.044090,319.546631,56.820732,0.023842,0.149012,-0.134110,-0.143051,-0.055507,0.049174,0.062585,0.151992,0.029244,0.166893,0.271201,-0.873208,0.178814,0.149012,-0.119209,0.838935,2.825260,3.243983,9.536743,-4.768372,9.536743,2.384186,2.011657,8.940697,-1.788139,4.768372,-0.894070,0.000000,11.622906,-18.775463,2.384186,4.768372,-8.642673,-46.789646,-13.113022,2.235174
29,0,907.352722,491.887756,72.756256,885.691772,27.909420,77.539513,-166.732101,-189.303162,13.978785,-588.441956,91.961823,78.439789,-569.705505,402.488464,73.961937,111.046539,319.559937,56.836590,0.035763,0.143051,-0.090897,-0.107288,-0.046194,0.096858,0.047684,0.172853,0.027940,0.178814,0.315905,-0.962615,0.178814,0.154972,-0.147521,0.490248,2.658367,3.171712,2.384186,-1.192093,8.642673,7.152557,1.862645,9.536743,-2.980232,4.172325,-0.260770,2.384186,8.940697,-17.881393,0.000000,1.192093,-5.662441,-69.737434,-33.378601,-14.454126
30,0,907.353027,491.888458,72.755951,885.691284,27.909231,77.540215,-166.731949,-189.302216,13.978934,-588.441040,91.963585,78.434532,-569.704590,402.489380,73.961098,111.046623,319.571960,56.851643,0.059605,0.143051,-0.061095,-0.095367,-0.037998,0.140071,0.029802,0.187755,0.029802,0.190735,0.351667,-1.050532,0.178814,0.184774,-0.166893,0.016391,2.408028,3.010780,4.768372,0.000000,5.960464,2.384186,1.639128,8.642673,-3.576279,2.980232,0.372529,2.384186,7.152557,-17.583370,0.000000,5.960464,-3.874302,-94.771385,-50.067902,-32.186508
31,0,907.353394,491.889130,72.755737,885.690918,27.909069,77.541138,-166.731934,-189.301239,13.979100,-588.440002,91.965439,78.428917,-569.703796,402.490417,73.960213,111.043724,319.582336,56.865479,0.071526,0.131130,-0.041723,-0.071526,-0.032410,0.184774,0.002980,0.196695,0.033341,0.202656,0.371039,-1.123548,0.154972,0.202656,-0.177324,-0.579655,2.074242,2.767146,2.384186,-2.384186,3.874302,4.768372,1.117587,8.940697,-5.364418,1.788139,0.707805,2.384186,3.874302,-14.603138,-4.768372,3.576279,-2.086163,-119.209290,-66.757202,-48.726799
32,0,907.353699,491.889832,72.755554,885.690613,27.908926,77.542259,-166.732025,-189.300217,13.979293,-588.439026,91.967323,78.423012,-569.703125,402.491455,73.959335,111.037254,319.590729,56.877728,0.059605,0.143051,-0.037253,-0.059605,-0.028312,0.225008,-0.017881,0.205636,0.038370,0.190735,0.376999,-1.181662,0.143051,0.208616,-0.175834,-1.293421,1.674891,2.449751,-2.384186,2.384186,0.894070,2.384186,0.819564,8.046627,-4.172325,1.788139,1.005828,-2.384186,1.192093,-11.622906,-2.384186,1.192093,0.298023,-142.753128,-79.870224,-63.478947
33,0,907.354004,491.890533,72.755325,885.690491,27.908796,77.543571,-166.732285,-189.299179,13.979513,-588.437988,91.969170,78.416931,-569.702576,402.492554,73.958504,111.026649,319.596771,56.888130,0.059605,0.137091,-0.046194,-0.023842,-0.026077,0.262260,-0.050664,0.205636,0.044145,0.214577,0.369549,-1.215935,0.107288,0.220537,-0.166893,-2.120435,1.209974,2.080202,0.000000,-1.192093,-1.788139,7.152557,0.447035,7.450581,-6.556511,0.000000,1.154840,4.768372,-1.490116,-6.854534,-7.152557,2.384186,1.788139,-165.402893,-92.983246,-73.909760
34,0,907.354187,491.891296,72.754990,885.690491,27.908665,77.545044,-166.732651,-189.298203,13.979765,-588.436768,91.970886,78.410805,-569.702148,402.493652,73.957726,111.011467,319.600342,56.896553,0.035763,0.154972,-0.067055,0.000000,-0.026450,0.295043,-0.074506,0.196695,0.050291,0.238419,0.342727,-1.224875,0.083447,0.220537,-0.154972,-3.036857,0.715256,1.684576,-4.768372,3.576279,-4.172325,4.768372,-0.074506,6.556511,-4.768372,-1.788139,1.229346,4.768372,-5.364418,-1.788139,-4.768372,0.000000,2.384186,-183.284286,-98.943710,-79.125168
35,0,907.354187,491.892090,72.754486,885.690674,27.908525,77.546638,-166.733154,-189.297241,13.980045,-588.435669,91.972412,78.404732,-569.701965,402.494720,73.957054,110.991272,319.601532,56.903046,0.000000,0.160933,-0.099838,0.035763,-0.027567,0.318885,-0.101328,0.190735,0.056066,0.226498,0.305474,-1.214445,0.035763,0.214577,-0.134110,-4.039705,0.238419,1.298636,-7.152557,1.192093,-6.556511,7.152557,-0.223517,4.768372,-5.364418,-1.192093,1.154840,-2.384186,-7.450581,2.086163,-9.536743,-1.192093,4.172325,-200.569626,-95.367432,-77.188019
36,0,907.354065,491.892975,72.753792,885.690979,27.908375,77.548332,-166.733795,-189.296402,13.980352,-588.434448,91.973694,78.398865,-569.701965,402.495789,73.956512,110.965813,319.600555,56.907856,-0.023842,0.172853,-0.138581,0.059605,-0.030175,0.338256,-0.128150,0.169873,0.061467,0.238419,0.256300,-1.174212,0.000000,0.214577,-0.108778,-5.091727,-0.196695,0.961870,-4.768372,2.384186,-7.748604,4.768372,-0.521541,3.874302,-5.364418,-4.172325,1.080334,2.384186,-9.834766,8.046627,-7.152557,0.000000,5.066395,-210.404388,-87.022781,-67.353249
37,0,907.353760,491.893921,72.752869,885.691345,27.908211,77.550095,-166.734543,-189.295654,13.980684,-588.433289,91.974686,78.393280,-569.702148,402.496796,73.956085,110.934929,319.597656,56.911423,-0.059605,0.190735,-0.184774,0.071526,-0.032783,0.351667,-0.149012,0.149012,0.066310,0.238419,0.198185,-1.116097,-0.035763,0.196695,-0.084937,-6.176531,-0.578165,0.713766,-7.152557,3.576279,-9.238720,2.384186,-0.521541,2.682209,-4.172325,-4.172325,0.968575,0.000000,-11.622906,11.622906,-7.152557,-3.576279,4.768372,-216.960907,-76.293945,-49.620865
38,0,907.353333,491.894897,72.751724,885.691895,27.908037,77.551865,-166.735413,-189.295044,13.981035,-588.432129,91.975365,78.388077,-569.702576,402.497711,73.955788,110.898567,319.593475,56.914391,-0.083447,0.196695,-0.229478,0.107288,-0.035018,0.354648,-0.172853,0.122190,0.070222,0.226498,0.135601,-1.040101,-0.083447,0.184774,-0.059605,-7.271767,-0.834465,0.593066,-4.768372,1.192093,-8.940697,7.152557,-0.447035,0.596046,-4.768372,-5.364418,0.782311,-2.384186,-12.516975,15.199184,-9.536743,-2.384186,5.066395,-219.047073,-51.259995,-24.139881
39,0,907.352600,491.895844,72.750336,885.692444,27.907856,77.553604,-166.736313,-189.294556,13.981401,-588.431030,91.975716,78.383316,-569.703003,402.498444,73.955620,110.856850,319.588684,56.917530,-0.143051,0.190735,-0.277162,0.107288,-0.036135,0.348687,-0.181794,0.095367,0.073202,0.214577,0.071526,-0.952184,-0.083447,0.149012,-0.034273,-8.343161,-0.959635,0.628084,-11.920929,-1.192093,-9.536743,0.000000,-0.223517,-1.192093,-1.788139,-5.364418,0.596046,-2.384186,-12.814999,17.583370,0.000000,-7.152557,5.066395,-214.278702,-25.033951,7.003546
40,0,907.351868,491.896912,72.748756,885.693054,27.907669,77.555283,-166.737320,-189.294281,13.981778,-588.430054,91.975777,78.379028,-569.703491,402.499146,73.955559,110.809959,319.584045,56.921715,-0.154972,0.208616,-0.315905,0.131130,-0.037253,0.335276,-0.199676,0.056624,0.075437,0.202656,0.011921,-0.858307,-0.107288,0.137091,-0.011921,-9.378791,-0.929832,0.836700,-2.384186,3.576279,-7.748604,4.768372,-0.223517,-2.682209,-3.576279,-7.748604,0.447035,-2.384186,-11.920929,18.775463,-4.768372,-2.384186,4.470348,-207.126144,5.960464,41.723251
41,0,907.350891,491.897919,72.747025,885.693848,27.907492,77.556847,-166.738312,-189.294144,13.982158,-588.429138,91.975578,78.375221,-569.704163,402.499634,73.955589,110.758194,319.580231,56.927834,-0.190735,0.202656,-0.347197,0.154972,-0.035390,0.312924,-0.199676,0.026822,0.075996,0.178814,-0.040233,-0.761449,-0.131130,0.101328,0.005960,-10.353327,-0.762939,1.224130,-7.152557,-1.192093,-6.258488,4.768372,0.372529,-4.470348,0.000000,-5.960464,0.111759,-4.768372,-10.430813,19.371510,-4.768372,-7.152557,3.576279,-194.907196,33.378601,77.486038
