Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.422913,491.819092,72.826729,885.681335,27.942097,77.485237,-166.615189,-190.602280,12.025828,-588.482056,91.963257,78.594864,-569.649719,402.486664,73.882675,100.986740,329.477722,45.807476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.418823,491.823029,72.821648,885.681213,27.941116,77.488419,-166.618622,-190.601456,12.031816,-588.480957,91.967178,78.582336,-569.652954,402.488403,73.885872,100.997734,329.481842,45.781059,-0.810623,0.786781,-1.016259,-0.023842,-0.195950,0.637770,-0.685453,0.163913,1.197495,0.226498,0.785291,-2.504885,-0.655651,0.351667,0.639260,2.197921,0.822544,-5.283207,,,,,,,,,,,,,,,,,,
3,0,907.414429,491.827484,72.816254,885.681030,27.940056,77.492027,-166.622513,-190.600479,12.038752,-588.479553,91.971672,78.567986,-569.656860,402.490448,73.889633,101.010963,329.485352,45.751480,-0.882149,0.894070,-1.078844,-0.035763,-0.212342,0.721216,-0.780821,0.193715,1.387112,0.274181,0.898540,-2.869964,-0.774860,0.405312,0.752509,2.646446,0.703335,-5.916506,-14.305115,21.457672,-12.516975,-2.384186,-3.278255,16.689301,-19.073486,5.960464,37.923454,9.536743,22.649765,-73.015686,-23.841858,10.728836,22.649765,89.704987,-23.841858,-126.659866
4,0,907.409607,491.832367,72.810638,885.680908,27.938925,77.496040,-166.626877,-190.599426,12.046587,-588.478027,91.976692,78.551918,-569.661072,402.492706,73.893974,101.026497,329.488007,45.719265,-0.965595,0.977516,-1.123548,-0.023842,-0.226125,0.801682,-0.870228,0.211596,1.567043,0.309944,1.004338,-3.214180,-0.846386,0.452995,0.867248,3.106892,0.530481,-6.442517,-16.689301,16.689301,-8.940697,2.384186,-2.756715,16.093254,-17.881393,3.576279,35.986305,7.152557,21.159649,-68.843369,-14.305115,9.536743,22.947788,92.089172,-34.570694,-105.202194
5,0,907.404663,491.837646,72.804962,885.680786,27.937750,77.500374,-166.631546,-190.598236,12.055233,-588.476379,91.982162,78.534340,-569.665894,402.495209,73.898819,101.044334,329.489258,45.685158,-0.989437,1.055002,-1.133978,-0.023842,-0.235066,0.867248,-0.935793,0.238419,1.729280,0.333786,1.093745,-3.515184,-0.965595,0.500679,0.970066,3.567338,0.250340,-6.821752,-4.768372,15.497208,-2.086163,0.000000,-1.788139,13.113022,-13.113022,5.364418,32.447277,4.768372,17.881393,-60.200691,-23.841858,9.536743,20.563602,92.089172,-56.028366,-75.846909
6,0,907.399658,491.843109,72.799438,885.680603,27.936560,77.504951,-166.636505,-190.596970,12.064571,-588.474426,91.987999,78.515526,-569.671021,402.497894,73.904160,101.064438,329.488678,45.650040,-1.001358,1.090765,-1.105666,-0.035763,-0.238046,0.916421,-0.992417,0.253320,1.867674,0.381470,1.166761,-3.764033,-1.025200,0.536442,1.066923,4.020333,-0.119209,-7.023663,-2.384186,7.152557,5.662441,-2.384186,-0.596046,9.834766,-11.324883,2.980232,27.678907,9.536743,14.603138,-49.769878,-11.920929,7.152557,19.371510,90.599060,-73.909760,-40.382149
7,0,907.394714,491.848663,72.794235,885.680542,27.935381,77.509697,-166.641617,-190.595657,12.074450,-588.472351,91.994072,78.495781,-569.676453,402.500732,73.909882,101.086693,329.485718,45.614883,-0.989437,1.114607,-1.040101,-0.011921,-0.235811,0.947714,-1.022220,0.262260,1.975894,0.417233,1.214445,-3.948808,-1.084805,0.566244,1.144409,4.450977,-0.590086,-7.031113,2.384186,4.768372,13.113022,4.768372,0.447035,6.258488,-5.960464,1.788139,21.643936,7.152557,9.536743,-36.954880,-11.920929,5.960464,15.497208,86.128708,-94.175339,-1.490116
8,0,907.389954,491.854248,72.789558,885.680542,27.934231,77.514488,-166.646774,-190.594330,12.084705,-588.470215,92.000259,78.475426,-569.682068,402.503601,73.915901,101.110931,329.479980,45.580711,-0.953674,1.114607,-0.935793,0.000000,-0.229850,0.959635,-1.031160,0.265241,2.050959,0.429153,1.238286,-4.070997,-1.120567,0.578165,1.204014,4.848838,-1.144409,-6.834417,7.152557,0.000000,20.861626,2.384186,1.192093,2.384186,-1.788139,0.596046,15.012920,2.384186,4.768372,-24.437904,-7.152557,2.384186,11.920929,79.572205,-110.864639,39.339066
9,0,907.385559,491.859650,72.785538,885.680603,27.933123,77.519257,-166.651855,-190.593033,12.095157,-588.467957,92.006447,78.454819,-569.687744,402.506531,73.922096,101.136986,329.471161,45.548515,-0.870228,1.078844,-0.803173,0.011921,-0.221655,0.953674,-1.016259,0.259280,2.090261,0.452995,1.236796,-4.120171,-1.132488,0.584126,1.239777,5.209446,-1.764297,-6.439537,16.689301,-7.152557,26.524067,2.384186,1.639128,-1.192093,2.980232,-1.192093,7.860363,4.768372,-0.298023,-9.834766,-2.384186,1.192093,7.152557,72.121620,-123.977661,78.976151
10,0,907.381653,491.864716,72.782349,885.680908,27.932060,77.523895,-166.656769,-190.591797,12.105622,-588.465637,92.012489,78.434334,-569.693237,402.509369,73.928375,101.164574,329.458954,45.519203,-0.786781,1.013279,-0.639260,0.059605,-0.212342,0.926852,-0.980496,0.247359,2.093054,0.464916,1.208484,-4.097819,-1.108646,0.566244,1.256168,5.517900,-2.443790,-5.862117,16.689301,-13.113022,32.782555,9.536743,1.862645,-5.364418,7.152557,-2.384186,0.558794,2.384186,-5.662441,4.470348,4.768372,-3.576279,3.278255,61.690807,-135.898590,115.484001
11,0,907.378235,491.869354,72.780083,885.681213,27.931042,77.528313,-166.661377,-190.590668,12.115924,-588.463196,92.018242,78.414268,-569.698608,402.512115,73.934608,101.193413,329.443176,45.493542,-0.679493,0.929832,-0.452995,0.059605,-0.203773,0.883639,-0.923872,0.226498,2.060272,0.488758,1.150370,-4.012883,-1.072884,0.548363,1.245737,5.768239,-3.153086,-5.131960,21.457672,-16.689301,37.252903,0.000000,1.713634,-8.642673,11.324883,-4.172325,-6.556511,4.768372,-11.622906,16.987324,7.152557,-3.576279,-2.086163,50.067902,-141.859055,146.031372
12,0,907.375488,491.873444,72.778847,885.681763,27.930056,77.532440,-166.665649,-190.589676,12.125894,-588.460754,92.023590,78.395004,-569.703613,402.514709,73.940681,101.223160,329.423950,45.472130,-0.548363,0.816584,-0.247359,0.107288,-0.197440,0.825524,-0.852346,0.196695,1.993962,0.488758,1.069903,-3.853440,-1.001358,0.518560,1.214445,5.950034,-3.844500,-4.282594,26.226044,-22.649765,41.127205,9.536743,1.266599,-11.622906,14.305115,-5.960464,-13.262033,0.000000,-16.093254,31.888485,14.305115,-5.960464,-6.258488,36.358833,-138.282776,169.873230
