Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.661316,491.978699,72.883331,885.662170,27.858027,77.480469,-168.300491,-191.315720,10.972897,-601.579163,86.425270,78.591820,-568.637756,401.670410,73.949760,-17.518507,290.217804,131.628418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.659424,491.980865,72.883789,885.663269,27.857872,77.484001,-168.302856,-191.315750,10.971380,-601.585999,86.424866,78.605026,-568.638489,401.669250,73.950317,-17.516775,290.226624,131.633759,-0.381470,0.435114,0.092387,0.214577,-0.030920,0.707805,-0.470877,-0.005960,-0.303239,-1.358986,-0.080466,2.641976,-0.154972,-0.226498,0.111759,0.346452,1.758337,1.066923,,,,,,,,,,,,,,,,,,
3,0,907.657288,491.983398,72.884315,885.664490,27.857594,77.488106,-168.305542,-191.315781,10.969619,-601.593811,86.424431,78.620354,-568.639587,401.668182,73.951385,-17.515123,290.236786,131.640076,-0.429153,0.506639,0.104308,0.238419,-0.055507,0.821054,-0.539422,-0.005960,-0.352226,-1.561642,-0.086427,3.065169,-0.214577,-0.214577,0.213087,0.330433,2.038479,1.263618,-9.536743,14.305115,2.384186,4.768372,-4.917383,22.649765,-13.709068,0.000000,-9.797514,-40.531158,-1.192093,84.638596,-11.920929,2.384186,20.265579,-3.203750,56.028366,39.339066
4,0,907.654907,491.986267,72.884880,885.665833,27.857185,77.492760,-168.308594,-191.315826,10.967623,-601.602539,86.424011,78.637688,-568.640930,401.667206,73.953026,-17.513662,290.248352,131.647354,-0.476837,0.572205,0.113249,0.274181,-0.081584,0.929832,-0.610948,-0.008941,-0.399351,-1.752377,-0.084937,3.467500,-0.274181,-0.196695,0.327826,0.292063,2.312660,1.454353,-9.536743,13.113022,1.788139,7.152557,-5.215406,21.755695,-14.305115,-0.596046,-9.424984,-38.146973,0.298023,80.466270,-11.920929,3.576279,22.947788,-7.674098,54.836273,38.146973
5,0,907.652344,491.989410,72.885483,885.667236,27.856628,77.497894,-168.311951,-191.315872,10.965407,-601.612183,86.423584,78.656860,-568.642700,401.666351,73.955292,-17.512547,290.261139,131.655548,-0.512600,0.625849,0.120699,0.286102,-0.111386,1.026690,-0.670552,-0.008941,-0.442937,-1.931190,-0.084937,3.834069,-0.345707,-0.172853,0.452995,0.223145,2.557039,1.639128,-7.152557,10.728836,1.490116,2.384186,-5.960464,19.371510,-11.920929,0.000000,-8.717179,-35.762787,0.000000,73.313713,-14.305115,4.768372,25.033951,-13.783574,48.875809,36.954880
6,0,907.649719,491.992798,72.886116,885.668945,27.855907,77.503441,-168.315567,-191.315948,10.963006,-601.622498,86.423187,78.677559,-568.644775,401.665649,73.958237,-17.511938,290.275024,131.664581,-0.524521,0.679493,0.126660,0.333786,-0.144541,1.110137,-0.721216,-0.014901,-0.480376,-2.062321,-0.078976,4.139543,-0.417233,-0.137091,0.588596,0.121817,2.777576,1.806021,-2.384186,10.728836,1.192093,9.536743,-6.631017,16.689301,-10.132790,-1.192093,-7.487833,-26.226044,1.192093,61.094761,-14.305115,7.152557,27.120113,-20.265579,44.107437,33.378601
7,0,907.646973,491.996307,72.886765,885.670593,27.855011,77.509315,-168.319366,-191.316010,10.960449,-601.633301,86.422852,78.699455,-568.647217,401.665283,73.961891,-17.511995,290.289825,131.674332,-0.548363,0.703335,0.129640,0.333786,-0.179186,1.174212,-0.759959,-0.011921,-0.511296,-2.157688,-0.067055,4.379451,-0.488758,-0.077486,0.731647,-0.011548,2.956390,1.952052,-4.768372,4.768372,0.596046,0.000000,-6.929040,12.814999,-7.748604,0.596046,-6.183982,-19.073486,2.384186,47.981739,-14.305115,11.920929,28.610229,-26.673079,35.762787,29.206276
8,0,907.644226,491.999939,72.887398,885.672363,27.853939,77.515404,-168.323273,-191.316086,10.957778,-601.644409,86.422585,78.722153,-568.649902,401.665161,73.966232,-17.512899,290.305298,131.684723,-0.548363,0.727177,0.126660,0.357628,-0.214204,1.217425,-0.783801,-0.014901,-0.534207,-2.217293,-0.053644,4.538894,-0.536442,-0.023842,0.868738,-0.180677,3.093481,2.077222,0.000000,4.768372,-0.596046,4.768372,-7.003546,8.642673,-4.768372,-0.596046,-4.582107,-11.920929,2.682209,31.888485,-9.536743,10.728836,27.418137,-33.825638,27.418137,25.033951
9,0,907.641479,492.003632,72.888008,885.674255,27.852709,77.521568,-168.327240,-191.316162,10.955035,-601.655518,86.422409,78.745239,-568.652832,401.665314,73.971199,-17.514801,290.321167,131.695602,-0.548363,0.733137,0.122190,0.369549,-0.246242,1.233816,-0.792742,-0.014901,-0.548735,-2.229214,-0.035763,4.617870,-0.584126,0.029802,0.992417,-0.380352,3.176928,2.175570,0.000000,1.192093,-0.894070,2.384186,-6.407499,3.278255,-1.788139,0.000000,-2.905726,-2.384186,3.576279,15.795231,-9.536743,10.728836,24.735928,-39.935112,16.689301,19.669533
