Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.680176,492.025909,72.897186,885.636414,27.934761,77.454231,-168.321838,-191.236908,11.212418,-601.905457,86.392128,79.036545,-568.590820,401.618500,73.885094,-45.139919,288.379120,127.449722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.678650,492.028290,72.897972,885.635681,27.933701,77.456406,-168.323593,-191.235977,11.210952,-601.894531,86.393097,79.025345,-568.593018,401.619446,73.889519,-45.133301,288.364624,127.433418,-0.298023,0.476837,0.156462,-0.143051,-0.212342,0.435114,-0.351667,0.187755,-0.293180,2.181530,0.193715,-2.239645,-0.441074,0.184774,0.885129,1.323968,-2.902746,-3.260374,,,,,,,,,,,,,,,,,,
3,0,907.676941,492.031036,72.898796,885.634827,27.932478,77.458961,-168.325592,-191.234879,11.209220,-601.882690,86.394196,79.013664,-568.595520,401.620483,73.894524,-45.125420,288.348206,127.414200,-0.345707,0.548363,0.165403,-0.166893,-0.244379,0.511110,-0.399351,0.220537,-0.346452,2.372265,0.220537,-2.336502,-0.500679,0.208616,1.001358,1.575798,-3.284216,-3.844500,-9.536743,14.305115,1.788139,-4.768372,-6.407499,15.199184,-9.536743,6.556511,-10.654330,38.146973,5.364418,-19.371510,-11.920929,4.768372,23.245811,50.365925,-76.293945,-116.825104
4,0,907.674988,492.034149,72.899681,885.634094,27.931095,77.461906,-168.327805,-191.233643,11.207226,-601.870361,86.395439,79.001778,-568.598267,401.621613,73.900070,-45.116268,288.330109,127.392097,-0.393391,0.619888,0.177324,-0.154972,-0.276417,0.588596,-0.444055,0.247359,-0.398792,2.467632,0.248849,-2.376735,-0.548363,0.226498,1.110137,1.830608,-3.618002,-4.419684,-9.536743,14.305115,2.384186,2.384186,-6.407499,15.497208,-8.940697,5.364418,-10.468065,19.073486,5.662441,-8.046627,-9.536743,3.576279,21.755695,50.961971,-66.757202,-115.036964
5,0,907.672791,492.037537,72.900612,885.633301,27.929567,77.465218,-168.330215,-191.232285,11.204985,-601.857666,86.396797,78.990150,-568.601257,401.622772,73.906097,-45.105835,288.310699,127.367317,-0.441074,0.679493,0.186265,-0.154972,-0.305846,0.661612,-0.482798,0.271201,-0.448152,2.539158,0.271201,-2.324581,-0.596046,0.232458,1.204014,2.086908,-3.880262,-4.956126,-9.536743,11.920929,1.788139,0.000000,-5.885959,14.603138,-7.748604,4.768372,-9.872019,14.305115,4.470348,10.430813,-9.536743,1.192093,18.775463,51.259995,-52.452087,-107.288361
6,0,907.670471,492.041168,72.901558,885.632568,27.927900,77.468857,-168.332779,-191.230835,11.202524,-601.845215,86.398262,78.979256,-568.604370,401.623962,73.912476,-45.094128,288.290375,127.340126,-0.452995,0.727177,0.187755,-0.143051,-0.333413,0.728667,-0.512600,0.289083,-0.492111,2.491474,0.292063,-2.180040,-0.619888,0.238419,1.277030,2.340972,-4.065037,-5.438924,-2.384186,9.536743,0.298023,2.384186,-5.513430,13.411045,-5.960464,3.576279,-8.791685,-9.536743,4.172325,28.908253,-4.768372,1.192093,14.603138,50.812958,-36.954880,-96.559525
7,0,907.668030,492.044983,72.902489,885.631836,27.926117,77.472816,-168.335419,-191.229294,11.199883,-601.833191,86.399788,78.969437,-568.607544,401.625092,73.919121,-45.081177,288.269623,127.310875,-0.488758,0.762939,0.186265,-0.143051,-0.356510,0.791252,-0.527501,0.306964,-0.528432,2.408028,0.305474,-1.963973,-0.643730,0.226498,1.327693,2.590567,-4.154444,-5.850196,-7.152557,7.152557,-0.298023,0.000000,-4.619360,12.516975,-2.980232,3.576279,-7.264316,-16.689301,2.682209,43.213367,-4.768372,-2.384186,10.132790,49.918892,-17.881393,-82.254410
8,0,907.665527,492.048950,72.903389,885.631287,27.924231,77.477020,-168.338135,-191.227737,11.197106,-601.822021,86.401360,78.960999,-568.610779,401.626221,73.925858,-45.066998,288.248840,127.280029,-0.500679,0.792742,0.180304,-0.119209,-0.377372,0.841916,-0.542402,0.312924,-0.555255,2.229214,0.314415,-1.686811,-0.643730,0.226498,1.348555,2.835691,-4.154444,-6.169081,-2.384186,5.960464,-1.192093,4.768372,-4.172325,10.132790,-2.980232,1.192093,-5.364418,-35.762787,1.788139,55.432320,0.000000,0.000000,4.172325,49.024818,0.000000,-63.776970
9,0,907.663025,492.052917,72.904221,885.630798,27.922262,77.481445,-168.340836,-191.226135,11.194251,-601.811768,86.402946,78.954147,-568.614075,401.627289,73.932587,-45.051613,288.228485,127.248093,-0.500679,0.792742,0.166893,-0.095367,-0.393763,0.885129,-0.539422,0.318885,-0.570901,2.050400,0.317395,-1.370907,-0.655651,0.214577,1.345575,3.077090,-4.070997,-6.386638,0.000000,0.000000,-2.682209,4.768372,-3.278255,8.642673,0.596046,1.192093,-3.129244,-35.762787,0.596046,63.180923,-2.384186,-2.384186,-0.596046,48.279762,16.689301,-43.511391
10,0,907.660522,492.056885,72.904999,885.630432,27.920237,77.486023,-168.343475,-191.224564,11.191379,-601.802856,86.404526,78.948944,-568.617126,401.628265,73.939171,-45.035049,288.208984,127.215561,-0.500679,0.792742,0.154972,-0.071526,-0.404939,0.914931,-0.527501,0.315905,-0.574626,1.776218,0.315905,-1.040101,-0.607967,0.190735,1.317263,3.312528,-3.898144,-6.505847,0.000000,0.000000,-2.384186,4.768372,-2.235174,5.960464,2.384186,-0.596046,-0.745058,-54.836273,-0.298023,66.161156,9.536743,-4.768372,-5.662441,47.087669,34.570694,-23.841858
