Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.485474,491.738007,72.910896,885.872070,27.769955,77.480911,-166.657227,-189.551361,13.596013,-588.540710,92.118309,78.498795,-571.020386,402.876434,73.693253,167.560318,377.740631,85.574867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.482300,491.741943,72.907120,885.874084,27.768106,77.482910,-166.660126,-189.550507,13.596642,-588.538147,92.113930,78.502693,-571.019531,402.877869,73.692986,167.574890,377.745270,85.567352,-0.631809,0.792742,-0.755489,0.405312,-0.369549,0.399351,-0.581145,0.172853,0.125915,0.512600,-0.876188,0.779331,0.166893,0.286102,-0.053644,2.914667,0.929832,-1.502037,,,,,,,,,,,,,,,,,,
3,0,907.478760,491.746521,72.902832,885.876343,27.766119,77.485168,-166.663513,-189.549469,13.597301,-588.535278,92.109329,78.506081,-571.018738,402.879486,73.692566,167.591354,377.750183,85.559769,-0.715256,0.911951,-0.858307,0.452995,-0.397488,0.451505,-0.676513,0.205636,0.131503,0.572205,-0.919402,0.678003,0.154972,0.321865,-0.083447,3.290176,0.983477,-1.516938,-16.689301,23.841858,-20.563602,9.536743,-5.587935,10.430813,-19.073486,6.556511,1.117587,11.920929,-8.642673,-20.265579,-2.384186,7.152557,-5.960464,75.101852,10.728836,-2.980232
4,0,907.474609,491.751587,72.898026,885.878906,27.764019,77.487679,-166.667328,-189.548325,13.597970,-588.532166,92.104591,78.508850,-571.018005,402.881256,73.692009,167.609390,377.755310,85.552528,-0.822544,1.013279,-0.961125,0.512600,-0.420213,0.502169,-0.762939,0.229478,0.133924,0.631809,-0.947714,0.552833,0.154972,0.357628,-0.111759,3.609061,1.025200,-1.448393,-21.457672,20.265579,-20.563602,11.920929,-4.544854,10.132790,-17.285347,4.768372,0.484288,11.920929,-5.662441,-25.033951,0.000000,7.152557,-5.662441,63.776970,8.344650,13.709068
5,0,907.470093,491.757141,72.892769,885.881653,27.761845,77.490395,-166.671555,-189.547058,13.598628,-588.528625,92.099838,78.510735,-571.017151,402.883270,73.691307,167.628769,377.760406,85.546082,-0.905991,1.114607,-1.050532,0.548363,-0.434741,0.543892,-0.846386,0.253320,0.131689,0.703335,-0.950694,0.376999,0.166893,0.399351,-0.140071,3.874302,1.019239,-1.288950,-16.689301,20.265579,-17.881393,7.152557,-2.905726,8.344650,-16.689301,4.768372,-0.447035,14.305115,-0.596046,-35.166740,2.384186,8.344650,-5.662441,53.048134,-1.192093,31.888485
6,0,907.465210,491.763184,72.887154,885.884521,27.759661,77.493286,-166.676147,-189.545685,13.599252,-588.525024,92.095222,78.511505,-571.016296,402.885345,73.690453,167.649078,377.765411,85.540932,-0.977516,1.204014,-1.123548,0.572205,-0.436977,0.578165,-0.917912,0.274181,0.124611,0.727177,-0.922382,0.154972,0.166893,0.417233,-0.171363,4.062057,1.001358,-1.031160,-14.305115,17.881393,-14.603138,4.768372,-0.447035,6.854534,-14.305115,4.172325,-1.415610,4.768372,5.662441,-44.405460,0.000000,3.576279,-6.258488,37.550926,-3.576279,51.558018
7,0,907.459900,491.769470,72.881248,885.887390,27.757538,77.496292,-166.681046,-189.544266,13.599812,-588.521179,92.090897,78.510979,-571.015625,402.887451,73.689438,167.669937,377.770233,85.537560,-1.060963,1.257658,-1.180172,0.572205,-0.424311,0.600517,-0.980496,0.286102,0.111945,0.762939,-0.865757,-0.105798,0.143051,0.423193,-0.202656,4.172325,0.965595,-0.673532,-16.689301,10.728836,-11.324883,0.000000,2.533197,4.470348,-12.516975,2.384186,-2.533197,7.152557,11.324883,-52.154064,-4.768372,1.192093,-6.258488,22.053719,-7.152557,71.525574
8,0,907.454468,491.775970,72.875183,885.890320,27.755545,77.499321,-166.686157,-189.542770,13.600288,-588.517395,92.086983,78.509041,-571.015015,402.889679,73.688286,167.690979,377.774811,85.536461,-1.084805,1.299381,-1.214445,0.584126,-0.398606,0.606477,-1.022220,0.298023,0.095367,0.762939,-0.782311,-0.387430,0.119209,0.441074,-0.230968,4.208088,0.911951,-0.220537,-4.768372,8.344650,-6.854534,2.384186,5.140901,1.192093,-8.344650,2.384186,-3.315508,0.000000,16.689301,-56.326389,-4.768372,3.576279,-5.662441,7.152557,-10.728836,90.599060
9,0,907.448914,491.782532,72.869049,885.893250,27.753742,77.502327,-166.691422,-189.541245,13.600665,-588.513489,92.083565,78.505676,-571.014404,402.891846,73.687004,167.711792,377.779114,85.538017,-1.120567,1.317263,-1.226366,0.584126,-0.360608,0.600517,-1.052022,0.303984,0.075437,0.774860,-0.683963,-0.673532,0.119209,0.435114,-0.256300,4.163384,0.864267,0.311434,-7.152557,3.576279,-2.384186,0.000000,7.599592,-1.192093,-5.960464,1.192093,-3.986061,2.384186,19.669533,-57.220459,0.000000,-1.192093,-5.066395,-8.940697,-9.536743,106.394287
