Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.655701,492.043243,72.898148,887.368530,27.883329,77.170349,-168.251053,-191.198959,11.440250,-601.610168,86.513306,78.556953,-568.770264,401.791809,73.963333,-17.446777,290.233643,121.148338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.654724,492.045410,72.898270,887.371704,27.882847,77.172989,-168.252243,-191.197983,11.437911,-601.610535,86.514236,78.563934,-568.771362,401.791290,73.966431,-17.448559,290.231964,121.134468,-0.202656,0.429153,0.023842,0.631809,-0.096485,0.527501,-0.238419,0.196695,-0.467896,-0.071526,0.186265,1.396239,-0.214577,-0.101328,0.618398,-0.356510,-0.333786,-2.774596,,,,,,,,,,,,,,,,,,
3,0,907.653503,492.047882,72.898407,887.375183,27.882341,77.175774,-168.253647,-191.196869,11.435222,-601.611084,86.515266,78.572159,-568.772644,401.790710,73.969963,-17.450653,290.230499,121.118225,-0.238419,0.494719,0.028312,0.691414,-0.100955,0.557303,-0.280142,0.220537,-0.537746,-0.107288,0.207126,1.645088,-0.250340,-0.119209,0.706315,-0.418723,-0.292063,-3.248453,-7.152557,13.113022,0.894070,11.920929,-0.894070,5.960464,-8.344650,4.768372,-13.969839,-7.152557,4.172325,49.769878,-7.152557,-3.576279,17.583370,-12.442470,8.344650,-94.771385
4,0,907.652161,492.050690,72.898582,887.378784,27.881828,77.178680,-168.255188,-191.195648,11.432203,-601.611755,86.516411,78.581612,-568.774109,401.789978,73.973892,-17.453058,290.229401,121.099655,-0.274181,0.560284,0.034273,0.727177,-0.102445,0.581145,-0.309944,0.244379,-0.603683,-0.131130,0.227988,1.889467,-0.298023,-0.149012,0.786781,-0.480935,-0.220537,-3.713369,-7.152557,13.113022,1.192093,7.152557,-0.298023,4.768372,-5.960464,4.768372,-13.187528,-4.768372,4.172325,48.875809,-9.536743,-5.960464,16.093254,-12.442470,14.305115,-92.983246
5,0,907.650513,492.053802,72.898773,887.382629,27.881340,77.181587,-168.256912,-191.194321,11.428890,-601.612610,86.517601,78.592224,-568.775696,401.789124,73.978195,-17.455753,290.228851,121.078934,-0.321865,0.625849,0.038743,0.762939,-0.097975,0.581145,-0.342727,0.265241,-0.662729,-0.178814,0.238419,2.123415,-0.321865,-0.166893,0.859797,-0.539050,-0.113249,-4.145503,-9.536743,13.113022,0.894070,7.152557,0.894070,0.000000,-6.556511,4.172325,-11.809170,-9.536743,2.086163,46.789646,-4.768372,-3.576279,14.603138,-11.622906,21.457672,-86.426735
6,0,907.648926,492.057159,72.899002,887.386353,27.880913,77.184387,-168.258743,-191.192917,11.425335,-601.613831,86.518837,78.603928,-568.777527,401.788177,73.982750,-17.458715,290.228973,121.056244,-0.321865,0.673532,0.044703,0.751019,-0.085309,0.560284,-0.366569,0.283122,-0.710972,-0.238419,0.247359,2.340972,-0.357628,-0.190735,0.911951,-0.592321,0.023842,-4.537404,0.000000,9.536743,1.192093,-2.384186,2.533197,-4.172325,-4.768372,3.576279,-9.648502,-11.920929,1.788139,43.511391,-7.152557,-4.768372,10.430813,-10.654330,27.418137,-78.380112
7,0,907.647095,492.060822,72.899246,887.390137,27.880600,77.186958,-168.260666,-191.191437,11.421599,-601.615234,86.520073,78.616600,-568.779419,401.787079,73.987488,-17.461914,290.229980,121.031876,-0.369549,0.727177,0.049174,0.751019,-0.062585,0.514090,-0.384450,0.295043,-0.747107,-0.286102,0.247359,2.533197,-0.381470,-0.220537,0.946224,-0.640005,0.202656,-4.874170,-9.536743,10.728836,0.894070,0.000000,4.544854,-9.238720,-3.576279,2.384186,-7.227063,-9.536743,0.000000,38.444996,-4.768372,-5.960464,6.854534,-9.536743,35.762787,-67.353249
8,0,907.645081,492.064575,72.899506,887.393677,27.880457,77.189178,-168.262665,-191.189911,11.417754,-601.617065,86.521294,78.630096,-568.781372,401.785858,73.992287,-17.465319,290.231903,121.006134,-0.393391,0.751019,0.052154,0.703335,-0.028685,0.444055,-0.399351,0.303984,-0.769086,-0.357628,0.242889,2.700090,-0.393391,-0.244379,0.961125,-0.680983,0.387430,-5.148351,-4.768372,4.768372,0.596046,-9.536743,6.780028,-14.007092,-2.980232,1.788139,-4.395843,-14.305115,-0.894070,33.378601,-2.384186,-4.768372,2.980232,-8.195639,36.954880,-54.836273
9,0,907.643066,492.068390,72.899788,887.396851,27.880543,77.190941,-168.264709,-191.188431,11.413871,-601.619202,86.522430,78.644272,-568.783447,401.784546,73.997055,-17.468893,290.235046,120.979362,-0.405312,0.762939,0.056624,0.643730,0.017136,0.353158,-0.408292,0.298023,-0.776723,-0.429153,0.227988,2.835691,-0.417233,-0.262260,0.953674,-0.714883,0.625849,-5.353987,-2.384186,2.384186,0.894070,-11.920929,9.164214,-18.179417,-1.788139,-1.192093,-1.527369,-14.305115,-2.980232,27.120113,-4.768372,-3.576279,-1.490116,-6.780028,47.683716,-41.127205
